tailnum,year,type,manufacturer,model,engines,seats,speed,engine
N1603,1999,NA,BOEING,767-332,2,330,NA,Turbo-fan
N1604R,1999,NA,BOEING,767-332,2,330,NA,Turbo-fan
N1605,1999,NA,BOEING,767-332,2,330,NA,Turbo-fan
N16065,1999,NA,BOEING,767-332,2,330,NA,Turbo-fan
N160AN,2016,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N160SY,2016,NA,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N161AA,2016,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N161PQ,2008,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N161SY,2016,NA,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N161UW,2001,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
N16217,1998,NA,BOEING,737-824,2,149,NA,Turbo-fan
N16234,1999,NA,BOEING,737-824,2,149,NA,Turbo-fan
N162AA,2016,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N162PQ,2008,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N162SY,2016,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N162UW,2001,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
N163AA,2016,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N163SY,2016,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N163US,2001,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
N164NN,2016,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N164SY,2016,NA,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N165NN,2016,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N165SY,2016,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N165US,2001,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
N166NN,2016,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N166PQ,2008,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N166SY,2016,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N16701,1998,NA,BOEING,737-724,2,149,NA,Turbo-fan
N16703,1998,NA,BOEING,737-724,2,149,NA,Turbo-fan
N16709,1998,NA,BOEING,737-724,2,149,NA,Turbo-fan
N16713,1998,NA,BOEING,737-724,2,149,NA,Turbo-fan
N16732,1999,NA,BOEING,737-724,2,149,NA,Turbo-fan
N167AN,2016,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N167SY,2016,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N167US,2001,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
N168SY,2016,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N169DZ,1998,NA,BOEING,767-332,2,330,NA,Turbo-fan
N169UW,2001,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
N17002,2018,NA,BOEING,787-10,2,120,NA,Turbo-fan
N170PQ,2008,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N170US,2001,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
N17104,1994,NA,BOEING,757-224,2,178,NA,Turbo-fan
N17105,1994,NA,BOEING,757-224,2,178,NA,Turbo-fan
N17122,1997,NA,BOEING,757-224,2,178,NA,Turbo-fan
N17126,1998,NA,BOEING,757-224,2,178,NA,Turbo-fan
N17128,1998,NA,BOEING,757-224,2,178,NA,Turbo-fan
N17133,1998,NA,BOEING,757-224,2,178,NA,Turbo-fan
N17139,2000,NA,BOEING,757-224,2,178,NA,Turbo-fan
N171DN,1990,NA,BOEING,767-332,2,330,NA,Turbo-fan
N171DZ,1998,NA,BOEING,767-332,2,330,NA,Turbo-fan
N171US,2001,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
N17229,1999,NA,BOEING,737-824,2,149,NA,Turbo-fan
N17233,1999,NA,BOEING,737-824,2,149,NA,Turbo-fan
N17244,1999,NA,BOEING,737-824,2,149,NA,Turbo-fan
N17245,1999,NA,BOEING,737-824,2,149,NA,Turbo-fan
N17254,2021,NA,BOEING,737-8,2,185,NA,Turbo-fan
N17262,2021,NA,BOEING,737-8,2,185,NA,Turbo-fan
N17264,2021,NA,BOEING,737-8,2,185,NA,Turbo-fan
N17265,NA,NA,BOEING,737-8,2,185,NA,Turbo-fan
N172DN,1990,NA,BOEING,767-332,2,330,NA,Turbo-fan
N172DZ,1998,NA,BOEING,767-332,2,330,NA,Turbo-fan
N172US,2001,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
N173DZ,1998,NA,BOEING,767-332,2,330,NA,Turbo-fan
N173US,2001,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
N174DN,1990,NA,BOEING,767-332,2,330,NA,Turbo-fan
N174DZ,1998,NA,BOEING,767-332,2,330,NA,Turbo-fan
N174US,NA,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
N17529,NA,NA,BOEING,737-9,2,48,NA,Turbo-fan
N175DN,1990,NA,BOEING,767-332,2,330,NA,Turbo-fan
N175DZ,1999,NA,BOEING,767-332,2,330,NA,Turbo-fan
N176DN,1990,NA,BOEING,767-332,2,330,NA,Turbo-fan
N176DZ,1999,NA,BOEING,767-332,2,330,NA,Turbo-fan
N176PQ,2008,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N176UW,2001,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
N17719,1999,NA,BOEING,737-724,2,149,NA,Turbo-fan
N17730,1999,NA,BOEING,737-724,2,149,NA,Turbo-fan
N17752,1999,NA,BOEING,737-71Q,2,149,NA,Turbo-fan
N17753,2002,NA,BOEING,737-7V3,2,149,NA,Turbo-fan
N177DN,1991,NA,BOEING,767-332,2,330,NA,Turbo-fan
N177DZ,1999,NA,BOEING,767-332,2,330,NA,Turbo-fan
N177US,NA,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
N177XF,2006,NA,AIRBUS,A319-112,2,100,NA,Turbo-fan
N178DN,1991,NA,BOEING,767-332,2,330,NA,Turbo-fan
N178DZ,2000,NA,BOEING,767-332,2,330,NA,Turbo-fan
N178JB,2005,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N178US,2001,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
N17963,2016,NA,BOEING,787-9,2,422,NA,Turbo-fan
N179DN,1991,NA,BOEING,767-332,2,330,NA,Turbo-fan
N179JB,2005,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N179UW,2001,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
N180DN,1992,NA,BOEING,767-332,2,330,NA,Turbo-fan
N180US,2001,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
N18112,1995,NA,BOEING,757-224,2,178,NA,Turbo-fan
N181DN,1992,NA,BOEING,767-332,2,330,NA,Turbo-fan
N181GJ,2008,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N181PQ,2008,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N181UW,NA,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
N18220,1998,NA,BOEING,737-824,2,149,NA,Turbo-fan
N18223,1998,NA,BOEING,737-824,2,149,NA,Turbo-fan
N18243,1999,NA,BOEING,737-824,2,149,NA,Turbo-fan
N182DN,1992,NA,BOEING,767-332,2,330,NA,Turbo-fan
N182GJ,2008,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N182UW,2001,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
N183DN,1993,NA,BOEING,767-332,2,330,NA,Turbo-fan
N183GJ,2008,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N183JB,2005,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N183UW,2001,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
N184DN,1993,NA,BOEING,767-332,2,330,NA,Turbo-fan
N184GJ,2008,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N184JB,2005,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N184US,2002,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
N185DN,1995,NA,BOEING,767-332,2,330,NA,Turbo-fan
N185UW,2002,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
N186DN,1995,NA,BOEING,767-332,2,330,NA,Turbo-fan
N186PQ,2008,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N186US,2002,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N187DN,1996,NA,BOEING,767-332,2,330,NA,Turbo-fan
N187GJ,2008,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N187JB,2005,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N187PQ,2008,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N187US,2002,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N188DN,1996,NA,BOEING,767-332,2,330,NA,Turbo-fan
N188US,2002,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N189DN,1997,NA,BOEING,767-332,2,330,NA,Turbo-fan
N189UW,2001,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
N1902U,NA,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N190DN,1997,NA,BOEING,767-332,2,330,NA,Turbo-fan
N190JB,2005,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N190UW,2001,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
N19117,1996,NA,BOEING,757-224,2,178,NA,Turbo-fan
N19130,1998,NA,BOEING,757-224,2,178,NA,Turbo-fan
N19136,1999,NA,BOEING,757-224,2,178,NA,Turbo-fan
N19141,2000,NA,BOEING,757-224,2,178,NA,Turbo-fan
N191DN,1997,NA,BOEING,767-332,2,330,NA,Turbo-fan
N191UW,2001,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
N192DN,1997,NA,BOEING,767-332,2,330,NA,Turbo-fan
N192JB,2005,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N192UW,2001,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
N193DN,1997,NA,BOEING,767-332,2,330,NA,Turbo-fan
N193JB,2005,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N193UW,2008,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N194DN,1997,NA,BOEING,767-332,2,330,NA,Turbo-fan
N194UW,NA,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N195DN,1997,NA,BOEING,767-332,2,330,NA,Turbo-fan
N195PQ,2008,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N195UW,2008,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N196DN,1997,NA,BOEING,767-332,2,330,NA,Turbo-fan
N196UW,2009,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N197DN,1997,NA,BOEING,767-332,2,330,NA,Turbo-fan
N197JB,2006,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N197PQ,2008,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N197UW,2009,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N198DN,1998,NA,BOEING,767-332,2,330,NA,Turbo-fan
N198JB,2006,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N198UW,2013,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N19951,2014,NA,BOEING,787-9,2,422,NA,Turbo-fan
N19986,2021,NA,BOEING,787-9,2,422,NA,Turbo-fan
N199DN,1998,NA,BOEING,767-332,2,330,NA,Turbo-fan
N199UW,2013,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N2002J,2019,NA,AIRBUS,A321-271NX,2,246,NA,Turbo-fan
N200NV,2016,NA,BOEING,737-800,2,189,NA,Turbo-fan
N200PQ,2008,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N200SY,2016,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N200WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N2016J,2019,NA,AIRBUS,A321-271NX,2,246,NA,Turbo-fan
N2017J,2019,NA,AIRBUS,A321-271NX,2,246,NA,Turbo-fan
N201JQ,2008,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N201LV,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N2027J,2019,NA,AIRBUS,A321-271NX,2,246,NA,Turbo-fan
N2029J,2019,NA,AIRBUS,A321-271NX,2,246,NA,Turbo-fan
N202JQ,2008,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N202NN,2015,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N202SY,2016,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N202WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N2038J,2019,NA,AIRBUS,A321-271NX,2,246,NA,Turbo-fan
N2039J,NA,NA,AIRBUS,A321-271NX,2,246,NA,Turbo-fan
N203JB,2006,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N203JQ,2008,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N203NN,2015,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N203SY,2016,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N203WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N2043J,NA,NA,AIRBUS,A321-271NX,2,246,NA,Turbo-fan
N2044J,NA,NA,AIRBUS,A321-271NX,2,246,NA,Turbo-fan
N2047J,NA,NA,AIRBUS,A321-271NX,2,246,NA,Turbo-fan
N2048J,NA,NA,AIRBUS,A321-271NX,2,246,NA,Turbo-fan
N204JQ,2008,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N204SY,2016,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N204UA,1999,NA,BOEING,777-222,2,400,NA,Turbo-fan
N204WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N2059J,NA,NA,AIRBUS,A321-271NX,2,246,NA,Turbo-fan
N205JQ,2008,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N205NN,2015,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N205SY,2017,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N205WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N2060J,NA,NA,AIRBUS,A321-271NX,2,246,NA,Turbo-fan
N206FR,2010,NA,AIRBUS,A320-214,2,182,NA,Turbo-fan
N206JB,2006,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N206JQ,2008,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N206SY,2017,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N206UA,1999,NA,BOEING,777-222,2,400,NA,Turbo-fan
N206WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N207FR,2010,NA,AIRBUS,A320-214,2,182,NA,Turbo-fan
N207JQ,2008,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N207SY,2017,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N207WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N2084J,2020,NA,AIRBUS,A321-271NX,2,246,NA,Turbo-fan
N2086J,2020,NA,AIRBUS,A321-271NX,2,246,NA,Turbo-fan
N208JQ,2008,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N208SY,2017,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N208WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N209JQ,2008,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N209NN,2015,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N209SY,2017,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N209UA,1999,NA,BOEING,777-222,2,400,NA,Turbo-fan
N209WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N2102J,2021,NA,AIRBUS,A321-271NX,2,246,NA,Turbo-fan
N2105J,NA,NA,AIRBUS,A321-271NX,2,246,NA,Turbo-fan
N210FR,2011,NA,AIRBUS,A320-214,2,182,NA,Turbo-fan
N210JQ,2008,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N210WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N21108,1994,NA,BOEING,757-224,2,178,NA,Turbo-fan
N211FR,2011,NA,AIRBUS,A320-214,2,182,NA,Turbo-fan
N211JQ,2008,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N211SY,2017,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N211WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N212JQ,2008,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N212NN,2015,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N212UA,2000,NA,BOEING,777-222,2,400,NA,Turbo-fan
N212WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N2135U,2017,NA,BOEING,777-300ER,2,552,NA,Turbo-fan
N2136U,2017,NA,BOEING,777-300ER,2,552,NA,Turbo-fan
N2138U,2017,NA,BOEING,777-300ER,2,552,NA,Turbo-fan
N213FR,2011,NA,AIRBUS,A320-214,2,182,NA,Turbo-fan
N213JQ,2008,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N213SY,2017,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N213WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N2140U,2017,NA,BOEING,777-300ER,2,552,NA,Turbo-fan
N2142J,NA,NA,AIRBUS,A321-271NX,2,246,NA,Turbo-fan
N2142U,2017,NA,BOEING,777-300ER,2,552,NA,Turbo-fan
N214AK,2019,NA,BOEING,737-900ER,2,222,NA,Turbo-fan
N214JQ,2008,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N214NN,2015,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N214WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N215AK,2019,NA,BOEING,737-900ER,2,222,NA,Turbo-fan
N215JQ,2009,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N215UA,2000,NA,BOEING,777-222,2,400,NA,Turbo-fan
N215WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N216FR,2011,NA,AIRBUS,A320-214,2,182,NA,Turbo-fan
N216JB,2006,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N216JQ,2009,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N216NN,2015,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N216UA,2000,NA,BOEING,777-222,2,400,NA,Turbo-fan
N216WR,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N21723,1999,NA,BOEING,737-724,2,149,NA,Turbo-fan
N217JC,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N217JQ,2007,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N217NN,2015,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N217UA,2000,NA,BOEING,777-222,2,400,NA,Turbo-fan
N218JQ,2007,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N218NN,2015,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N218UA,2001,NA,BOEING,777-222,2,400,NA,Turbo-fan
N218WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N219UA,2001,NA,BOEING,777-222,2,400,NA,Turbo-fan
N219WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N219YX,2007,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N220JQ,2007,NA,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N220UA,2001,NA,BOEING,777-222,2,400,NA,Turbo-fan
N220WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N221JQ,2007,NA,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N221UA,2001,NA,BOEING,777-222,2,400,NA,Turbo-fan
N221WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N222JQ,2007,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N222UA,2001,NA,BOEING,777-222,2,400,NA,Turbo-fan
N222WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N223JQ,2008,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N223UA,2001,NA,BOEING,777-222,2,400,NA,Turbo-fan
N223WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N2243U,2017,NA,BOEING,777-300ER,2,552,NA,Turbo-fan
N224AK,2016,NA,BOEING,737-990ER,2,222,NA,Turbo-fan
N224JQ,2008,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N224UA,2001,NA,BOEING,777-222,2,400,NA,Turbo-fan
N224WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N2250U,2019,NA,BOEING,777-300ER,2,552,NA,Turbo-fan
N2251U,2020,NA,BOEING,777-300ER,2,552,NA,Turbo-fan
N225JQ,2008,NA,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N225UA,2001,NA,BOEING,777-222,2,400,NA,Turbo-fan
N225WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N226JQ,2008,NA,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N226UA,2002,NA,BOEING,777-222,2,400,NA,Turbo-fan
N226WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N227FR,2014,NA,AIRBUS,A320-214,2,182,NA,Turbo-fan
N227JQ,2008,NA,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N227NN,2016,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N227UA,2002,NA,BOEING,777-222,2,400,NA,Turbo-fan
N227WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N228FR,2013,NA,AIRBUS,A320-214,2,182,NA,Turbo-fan
N228JB,2006,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N228JQ,2008,NA,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N228PQ,2009,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N228UA,2002,NA,BOEING,777-222,2,400,NA,Turbo-fan
N228WN,2005,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N229FR,2013,NA,AIRBUS,A320-214,2,182,NA,Turbo-fan
N229JB,2006,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N229JQ,2008,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N229NN,2016,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N229UA,2002,NA,BOEING,777-222,2,400,NA,Turbo-fan
N229WN,2006,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N230FR,2015,NA,AIRBUS,A320-214,2,182,NA,Turbo-fan
N230JQ,2008,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N230NN,2016,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N230WN,2006,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N231AN,2016,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N231JB,2006,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N231JQ,2008,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N231WN,2006,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N232FR,2015,NA,AIRBUS,A320-214,2,182,NA,Turbo-fan
N232JQ,2008,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N232NN,2016,NA,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N232PQ,2009,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N232WN,2006,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N2331U,2016,NA,BOEING,777-300ER,2,552,NA,Turbo-fan
N2332U,2016,NA,BOEING,777-300ER,2,552,NA,Turbo-fan
N2333U,2017,NA,BOEING,777-300ER,2,552,NA,Turbo-fan
N233FR,2016,NA,AIRBUS,A320-214,2,182,NA,Turbo-fan
N233JQ,2008,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N233LV,2006,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N233NN,2016,NA,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N2341U,2017,NA,BOEING,777-300ER,2,552,NA,Turbo-fan
N234JQ,2008,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N234JW,2016,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N234WN,2006,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
N2352U,NA,NA,BOEING,777-300ER,2,552,NA,Turbo-fan
N235FR,2016,NA,AIRBUS,A320-214,2,182,NA,Turbo-fan
N235JQ,2008,NA,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N235NN,2016,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N235WN,2006,NA,BOEING,737-7H4,2,140,NA,Turbo-fan
